"Augmented_SMILES,T_K,P_Mpa",exp_CO2_sol_g_g
COCCCCOC(CCC(C)=O)=O|323.15|1.025|,0.00984
O(CCCCOC)C(=O)CCC(=O)C|323.15|1.025|,0.00984
C(=O)(CCC(OCCCCOC)=O)C|323.15|1.025|,0.00984
O(C)CCCCOC(=O)CCC(C)=O|323.15|1.025|,0.00984
O=C(CCC(=O)C)OCCCCOC|323.15|1.025|,0.00984
C(CCCOC(CCC(C)=O)=O)OC|323.15|3.068|,0.02826
C(CCCOC(=O)CCC(=O)C)OC|323.15|3.068|,0.02826
C(=O)(CCC(=O)C)OCCCCOC|323.15|3.068|,0.02826
O=C(CCC(OCCCCOC)=O)C|323.15|3.068|,0.02826
C(CC(C)=O)C(=O)OCCCCOC|323.15|3.068|,0.02826
COCCCCOC(CCC(C)=O)=O|323.15|6.272|,0.05681
C(COC(CCC(=O)C)=O)CCOC|323.15|6.272|,0.05681
C(OC)CCCOC(=O)CCC(=O)C|323.15|6.272|,0.05681
C(CCCOC(CCC(=O)C)=O)OC|323.15|6.272|,0.05681
C(CC(=O)C)C(=O)OCCCCOC|323.15|6.272|,0.05681
C(OC)CCCOC(CCC(=O)C)=O|323.15|8.008|,0.073
C(CC(C)=O)C(=O)OCCCCOC|323.15|8.008|,0.073
O=C(CCC(C)=O)OCCCCOC|323.15|8.008|,0.073
O=C(OCCCCOC)CCC(C)=O|323.15|8.008|,0.073
O(C(=O)CCC(=O)C)CCCCOC|323.15|8.008|,0.073
O=C(OCCCCOC)CCC(C)=O|323.15|10.129|,0.1076
O(CCCCOC)C(=O)CCC(=O)C|323.15|10.129|,0.1076
CC(=O)CCC(=O)OCCCCOC|323.15|10.129|,0.1076
COCCCCOC(CCC(=O)C)=O|323.15|10.129|,0.1076
O=C(OCCCCOC)CCC(=O)C|323.15|10.129|,0.1076
C(C(OCCCCOC)=O)CC(=O)C|353.15|1.148|,0.00876
C(COC)CCOC(=O)CCC(=O)C|353.15|1.148|,0.00876
O(C(=O)CCC(=O)C)CCCCOC|353.15|1.148|,0.00876
CC(CCC(OCCCCOC)=O)=O|353.15|1.148|,0.00876
O=C(OCCCCOC)CCC(C)=O|353.15|1.148|,0.00876
C(C)(CCC(OCCCCOC)=O)=O|353.15|3.158|,0.02243
C(OCCCCOC)(CCC(=O)C)=O|353.15|3.158|,0.02243
O=C(C)CCC(=O)OCCCCOC|353.15|3.158|,0.02243
C(COC)CCOC(=O)CCC(C)=O|353.15|3.158|,0.02243
O=C(OCCCCOC)CCC(C)=O|353.15|3.158|,0.02243
C(CCC(C)=O)(=O)OCCCCOC|353.15|4.218|,0.02961
C(COC)CCOC(=O)CCC(=O)C|353.15|4.218|,0.02961
C(CC(OCCCCOC)=O)C(=O)C|353.15|4.218|,0.02961
C(C(=O)C)CC(=O)OCCCCOC|353.15|4.218|,0.02961
O=C(CCC(C)=O)OCCCCOC|353.15|4.218|,0.02961
C(OCCCCOC)(CCC(=O)C)=O|353.15|6.169|,0.04332
O(C)CCCCOC(CCC(=O)C)=O|353.15|6.169|,0.04332
C(CCOC)COC(CCC(=O)C)=O|353.15|6.169|,0.04332
C(C(C)=O)CC(=O)OCCCCOC|353.15|6.169|,0.04332
O(C(CCC(C)=O)=O)CCCCOC|353.15|6.169|,0.04332
O(C(CCC(C)=O)=O)CCCCOC|353.15|8.05|,0.05601
CC(=O)CCC(OCCCCOC)=O|353.15|8.05|,0.05601
O(CCCCOC(CCC(=O)C)=O)C|353.15|8.05|,0.05601
CC(CCC(=O)OCCCCOC)=O|353.15|8.05|,0.05601
C(C(OCCCCOC)=O)CC(C)=O|353.15|8.05|,0.05601
C(=O)(CCC(OCCCCOC)=O)C|393.15|4.141|,0.03776
C(CCC(=O)OCCCCOC)(=O)C|393.15|4.141|,0.03776
C(CC(=O)C)C(OCCCCOC)=O|393.15|4.141|,0.03776
O=C(CCC(C)=O)OCCCCOC|393.15|4.141|,0.03776
O=C(OCCCCOC)CCC(C)=O|393.15|4.141|,0.03776
C(=O)(OCCCCOC)CCC(=O)C|393.15|8.928|,0.0813
O=C(C)CCC(=O)OCCCCOC|393.15|8.928|,0.0813
O(C(CCC(C)=O)=O)CCCCOC|393.15|8.928|,0.0813
O=C(CCC(OCCCCOC)=O)C|393.15|8.928|,0.0813
O=C(C)CCC(OCCCCOC)=O|393.15|8.928|,0.0813
C(C)(=O)CCC(OCCCCOC)=O|393.15|12.076|,0.1098
O(CCCCOC(CCC(=O)C)=O)C|393.15|12.076|,0.1098
O(CCCCOC(=O)CCC(=O)C)C|393.15|12.076|,0.1098
C(OC(CCC(=O)C)=O)CCCOC|393.15|12.076|,0.1098
C(COC(=O)CCC(=O)C)CCOC|393.15|12.076|,0.1098
O(CCCCOC)C(CCC(C)=O)=O|393.15|12.606|,0.1146
C(OCCCCOC)(CCC(=O)C)=O|393.15|12.606|,0.1146
O(CCCCOC)C(=O)CCC(=O)C|393.15|12.606|,0.1146
O=C(CCC(C)=O)OCCCCOC|393.15|12.606|,0.1146
C(CCCOC)OC(CCC(C)=O)=O|393.15|12.606|,0.1146
C(OC(CCC(=O)C)=O)CCCOC|393.15|16.544|,0.1481
O=C(CCC(OCCCCOC)=O)C|393.15|16.544|,0.1481
C(CCCOC)OC(=O)CCC(C)=O|393.15|16.544|,0.1481
O(CCCCOC(=O)CCC(C)=O)C|393.15|16.544|,0.1481
C(CCCOC(=O)CCC(=O)C)OC|393.15|16.544|,0.1481
O(CCCCOC)C(CCC(C)=O)=O|393.15|19.987|,0.1761
C(OC)CCCOC(=O)CCC(C)=O|393.15|19.987|,0.1761
O(CCCCOC(CCC(C)=O)=O)C|393.15|19.987|,0.1761
C(CCC(OCCCCOC)=O)(C)=O|393.15|19.987|,0.1761
C(=O)(CCC(OCCCCOC)=O)C|393.15|19.987|,0.1761
O(C)CCCCOC(CCC(=O)C)=O|423.15|2.221|,0.01501
C(CCCOC(CCC(=O)C)=O)OC|423.15|2.221|,0.01501
O=C(CCC(=O)C)OCCCCOC|423.15|2.221|,0.01501
CC(=O)CCC(OCCCCOC)=O|423.15|2.221|,0.01501
C(CCOC)COC(CCC(C)=O)=O|423.15|2.221|,0.01501
CC(=O)CCC(OCCCCOC)=O|423.15|2.935|,0.01993
