"Polymer_manual_aug_str,T_K,P_Mpa",exp_CO2_sol_g_g
CO.C.C.C.C.O.C=O.C.C.C=O.C|323.15|1.025|,0.00984
C.CO.C.C.C.C.O.C=O.C.C.C=O|323.15|1.025|,0.00984
C=O.C.CO.C.C.C.C.O.C=O.C.C|323.15|1.025|,0.00984
C.C=O.C.CO.C.C.C.C.O.C=O.C|323.15|1.025|,0.00984
C.C.C=O.C.CO.C.C.C.C.O.C=O|323.15|1.025|,0.00984
C=O.C.C.C=O.C.CO.C.C.C.C.O|323.15|1.025|,0.00984
O.C=O.C.C.C=O.C.CO.C.C.C.C|323.15|1.025|,0.00984
C.O.C=O.C.C.C=O.C.CO.C.C.C|323.15|1.025|,0.00984
C.C.O.C=O.C.C.C=O.C.CO.C.C|323.15|1.025|,0.00984
C.C.C.O.C=O.C.C.C=O.C.CO.C|323.15|1.025|,0.00984
C.C.C.C.O.C=O.C.C.C=O.C.CO|323.15|1.025|,0.00984
CO.C.C.C.C.O.C=O.C.C.C=O.C|323.15|2.209|,0.02063
C.CO.C.C.C.C.O.C=O.C.C.C=O|323.15|2.209|,0.02063
C=O.C.CO.C.C.C.C.O.C=O.C.C|323.15|2.209|,0.02063
C.C=O.C.CO.C.C.C.C.O.C=O.C|323.15|2.209|,0.02063
C.C.C=O.C.CO.C.C.C.C.O.C=O|323.15|2.209|,0.02063
C=O.C.C.C=O.C.CO.C.C.C.C.O|323.15|2.209|,0.02063
O.C=O.C.C.C=O.C.CO.C.C.C.C|323.15|2.209|,0.02063
C.O.C=O.C.C.C=O.C.CO.C.C.C|323.15|2.209|,0.02063
C.C.O.C=O.C.C.C=O.C.CO.C.C|323.15|2.209|,0.02063
C.C.C.O.C=O.C.C.C=O.C.CO.C|323.15|2.209|,0.02063
C.C.C.C.O.C=O.C.C.C=O.C.CO|323.15|2.209|,0.02063
CO.C.C.C.C.O.C=O.C.C.C=O.C|323.15|3.068|,0.02826
C.CO.C.C.C.C.O.C=O.C.C.C=O|323.15|3.068|,0.02826
C=O.C.CO.C.C.C.C.O.C=O.C.C|323.15|3.068|,0.02826
C.C=O.C.CO.C.C.C.C.O.C=O.C|323.15|3.068|,0.02826
C.C.C=O.C.CO.C.C.C.C.O.C=O|323.15|3.068|,0.02826
C=O.C.C.C=O.C.CO.C.C.C.C.O|323.15|3.068|,0.02826
