Augmented_SMILES,calc_PCE_percent
CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,9.461
C(c1c(-c2ccc(s2)-c2sc3c(c(c4c(c3-c3ccc(s3)CC(CCCC)CC)cc(s4)C)-c3sc(cc3)CC(CC)CCCC)c2)sc2c1sc(c2C(=O)OCC(CC)CCCC)-c1sc(C)cc1)(OCC(CC)CCCC)=O.c12ccccc2C(/C(C1=O)=C/c1sc2c(sc3-c4sc5c(sc6c5C(c5c-6sc6cc(/C=C7/C(=C(C#N)C#N)c8ccccc8C7=O)sc56)(c5ccc(cc5)CCCCCC)c5ccc(CCCCCC)cc5)c4C(c32)(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c1)=C(C#N)C#N,9.461
c1c(-c2c(c3sc(-c4ccc(s4)C)c(c3s2)C(OCC(CC)CCCC)=O)C(OCC(CC)CCCC)=O)sc(-c2sc3c(c2)c(c2c(cc(s2)C)c3-c2sc(CC(CC)CCCC)cc2)-c2sc(cc2)CC(CCCC)CC)c1.c1(ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2c3sc(cc3sc2-c2c1c1c(s2)c2c(s1)-c1sc3cc(sc3c1C2(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)/C=C1\C(=O)c2ccccc2C1=C(C#N)C#N)/C=C1/C(=C(C#N)C#N)c2c(C1=O)cccc2)CCCCCC,9.461
s1c(-c2cc3c(c(-c4ccc(CC(CCCC)CC)s4)c4cc(C)sc4c3-c3sc(cc3)CC(CC)CCCC)s2)ccc1-c1sc2c(c1C(=O)OCC(CCCC)CC)sc(c2C(=O)OCC(CCCC)CC)-c1ccc(C)s1.CCCCCCc1ccc(C2(c3c(-c4sc5cc(/C=C6\C(=O)c7c(cccc7)C6=C(C#N)C#N)sc5c42)sc2c4c(sc32)-c2c(c3c(cc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)s3)s2)C4(c2ccc(cc2)CCCCCC)c2ccc(CCCCCC)cc2)c2ccc(cc2)CCCCCC)cc1,9.461
CCC(Cc1ccc(-c2c3c(c(c4c2cc(s4)-c2sc(cc2)-c2sc4c(sc(-c5sc(C)cc5)c4C(OCC(CC)CCCC)=O)c2C(OCC(CC)CCCC)=O)-c2sc(cc2)CC(CC)CCCC)cc(C)s3)s1)CCCC.CCCCCCc1ccc(C2(c3c(sc4c3sc3-c5c(c6sc(/C=C7/C(c8c(C7=O)cccc8)=C(C#N)C#N)cc6s5)C(c5ccc(CCCCCC)cc5)(c43)c3ccc(CCCCCC)cc3)-c3sc4cc(/C=C5/C(c6ccccc6C5=O)=C(C#N)C#N)sc4c32)c2ccc(CCCCCC)cc2)cc1,9.461
s1c(C)ccc1-c1sc2c(C(=O)OCC(CCCC)CC)c(sc2c1C(OCC(CCCC)CC)=O)-c1ccc(-c2cc3c(c4c(c(-c5ccc(s5)CC(CCCC)CC)c3s2)cc(C)s4)-c2ccc(CC(CC)CCCC)s2)s1.s1c2c(C(c3ccc(cc3)CCCCCC)(c3c-2sc2cc(sc23)/C=C2/C(=C(C#N)C#N)c3ccccc3C2=O)c2ccc(CCCCCC)cc2)c2sc3c(c21)C(c1ccc(CCCCCC)cc1)(c1c2c(sc1-3)cc(/C=C1/C(=C(C#N)C#N)c3c(cccc3)C1=O)s2)c1ccc(cc1)CCCCCC,9.461
CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,9.994
c1(-c2c3cc(-c4ccc(s4)-c4c(C(OCC(CCCC)CC)=O)c5sc(c(c5s4)C(OCC(CC)CCCC)=O)-c4sc(cc4)C)sc3c(-c3sc(cc3)CC(CC)CCCC)c3cc(sc23)C)ccc(s1)CC(CC)CCCC.C1(c2c3c(cc(s3)/C=C3/C(=C(C#N)C#N)c4c(C3=O)ccc(C)c4)sc2-c2c1cc1c(c2)C(c2ccc(cc2)CCCCCC)(c2c3sc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)cc3sc-12)c1ccc(CCCCCC)cc1)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC,9.994
s1c(ccc1-c1c2sc(cc2c(-c2ccc(s2)CC(CC)CCCC)c2c1cc(C)s2)-c1ccc(-c2c(c3c(s2)c(c(-c2sc(cc2)C)s3)C(OCC(CC)CCCC)=O)C(OCC(CC)CCCC)=O)s1)CC(CC)CCCC.c12C(=C(C#N)C#N)/C(=C/c3sc4c5c(-c6cc7C(c8c(sc9c8sc(/C=C8\C(c%10ccc(C)cc%10C8=C(C#N)C#N)=O)c9)-c7cc6C5(c5ccc(cc5)CCCCCC)c5ccc(cc5)CCCCCC)(c5ccc(cc5)CCCCCC)c5ccc(cc5)CCCCCC)sc4c3)C(c1ccc(C)c2)=O,9.994
c1(c(sc2c1sc(c2C(=O)OCC(CCCC)CC)-c1ccc(-c2cc3c(s2)c(c2c(sc(C)c2)c3-c2sc(cc2)CC(CCCC)CC)-c2sc(cc2)CC(CCCC)CC)s1)-c1sc(C)cc1)C(OCC(CC)CCCC)=O.s1c2cc(sc2c2C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c(cc4C(c5ccc(CCCCCC)cc5)(c5c6sc(/C=C7\C(c8c(C7=C(C#N)C#N)cc(cc8)C)=O)cc6sc5-c4c3)c3ccc(CCCCCC)cc3)-c21)/C=C1/C(c2cc(ccc2C1=O)C)=C(C#N)C#N,9.994
