"Augmented_SMILES,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar",J_Total_flux_kg_m_2h_1
NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
NC1C(OC2C(O)C(C(C)OC2CO)N)OC(C(OC)C1O)CO.CC(O)C|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
C1(C(O)C(C(C)OC1CO)N)OC1C(N)C(C(OC)C(O1)CO)O.C(O)(C)C|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
C1(C(OC2C(N)C(O)C(OC)C(CO)O2)C(O)C(C(C)O1)N)CO.C(C)(O)C|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
OC1C(N)C(OC(C1OC1OC(C(C(C1N)O)OC)CO)CO)C.OC(C)C|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
OC1C(C(CO)OC(C)C1N)OC1C(N)C(O)C(OC)C(CO)O1.C(C)(C)O|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
C1(C(OC)C(O)C(C(O1)OC1C(OC(C)C(N)C1O)CO)N)CO.OC(C)C|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
CC1C(N)C(O)C(OC2OC(CO)C(C(O)C2N)OC)C(O1)CO.C(C)(O)C|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
CC1C(N)C(O)C(OC2OC(C(C(C2N)O)OC)CO)C(O1)CO.CC(O)C|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
O1C(C)C(C(O)C(C1CO)OC1C(C(O)C(OC)C(O1)CO)N)N.C(O)(C)C|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
C(O)C1C(OC2OC(C(OC)C(C2N)O)CO)C(O)C(C(C)O1)N.C(C)(C)O|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
C1(C(OC)C(CO)OC(OC2C(CO)OC(C)C(C2O)N)C1N)O.C(O)(C)C|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
OCC1OC(C(N)C(C1OC)O)OC1C(CO)OC(C)C(C1O)N.OC(C)C|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
OCC1C(C(O)C(C(OC2C(O)C(C(C)OC2CO)N)O1)N)OC.C(C)(O)C|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
OCC1OC(C(N)C(C1OC1C(C(C(C(CO)O1)OC)O)N)O)C.CC(O)C|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
C1(C(C(O)C(C(OC2C(OC(C)C(N)C2O)CO)O1)N)OC)CO.C(C)(C)O|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
C1(OC(C)C(N)C(C1OC1OC(CO)C(C(O)C1N)OC)O)CO.C(O)(C)C|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
O1C(CO)C(OC)C(C(C1OC1C(OC(C)C(C1O)N)CO)N)O.C(C)(C)O|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
C1(O)C(C(OC(C)C1N)CO)OC1OC(CO)C(C(C1N)O)OC.CC(O)C|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
COC1C(OC(C(N)C1O)OC1C(CO)OC(C(N)C1O)C)CO.OC(C)C|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
O(C1C(CO)OC(OC2C(CO)OC(C(C2O)N)C)C(C1O)N)C.C(C)(O)C|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
[Si](C)(C)(C)O(C).CCCCO|104.0|12.0|n-butanol|23.1|99.0|40|3.0|,0.4364
O([Si](C)(C)C)C.C(CCO)C|104.0|12.0|n-butanol|23.1|99.0|40|3.0|,0.4364
C[Si](C)(OC)C.C(CCC)O|104.0|12.0|n-butanol|23.1|99.0|40|3.0|,0.4364
C[Si](C)(C)OC.C(O)CCC|104.0|12.0|n-butanol|23.1|99.0|40|3.0|,0.4364
[Si](C)(C)(C)O(C).CCCCO|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
O(C)[Si](C)(C)C.C(C)CCO|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
C[Si](C)(C)OC.C(CO)CC|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
C[Si](C)(OC)C.C(CCO)C|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
[Si](OC)(C)(C)C.C(O)CCC|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
[Si](C)(OC)(C)C.C(CC)CO|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC.CC(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
O=CC.O=C(OC)C.COC.C(CCCCCCCC(C)=O)CCCNC.C(CCCC)OC.CC(O)C|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
C(C)=O.COC(C)=O.COC.C(=O)(CCCCCCCCCCCNC)C.C(COC)CCC.C(C)(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
CC=O.O=C(OC)C.COC.C(CNC)CCCCCCCCCC(C)=O.COCCCCC.C(O)(C)C|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
CC=O.C(=O)(OC)C.COC.C(CCCC(=O)C)CCCCCCCNC.C(OC)CCCC.OC(C)C|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
C(C)=O.C(=O)(C)OC.COC.CNCCCCCCCCCCCC(C)=O.C(OC)CCCC.C(C)(O)C|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC.CC(C)O|89.0|100.0|ipa|23.5|70.0|30|6.7|,0.769
CC=O.O=C(OC)C.O(C)C.CC(CCCCCCCCCCCNC)=O.C(CCOC)CC.CC(O)C|89.0|100.0|ipa|23.5|70.0|30|6.7|,0.769
O=CC.C(C)(OC)=O.O(C)C.C(CCNC)CCCCCCCCC(=O)C.CCCCCOC.OC(C)C|89.0|100.0|ipa|23.5|70.0|30|6.7|,0.769
CC=O.CC(=O)OC.COC.O=C(C)CCCCCCCCCCCNC.CCCCCOC.C(O)(C)C|89.0|100.0|ipa|23.5|70.0|30|6.7|,0.769
CC=O.O=C(C)OC.COC.N(CCCCCCCCCCCC(C)=O)C.O(CCCCC)C.C(C)(C)O|89.0|100.0|ipa|23.5|70.0|30|6.7|,0.769
CC=O.C(=O)(C)OC.COC.C(CCCCNC)CCCCCCC(C)=O.C(CCCC)OC.C(C)(O)C|89.0|100.0|ipa|23.5|70.0|30|6.7|,0.769
C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC.CC(C)O|89.0|100.0|ipa|23.5|80.0|30|6.7|,0.5411
C(=O)C.COC(C)=O.O(C)C.C(CCCCCCCNC)CCCC(C)=O.C(CCOC)CC.C(O)(C)C|89.0|100.0|ipa|23.5|80.0|30|6.7|,0.5411
C(C)=O.COC(C)=O.COC.C(CCCCCCCCNC)CCC(=O)C.C(CCCOC)C.CC(O)C|89.0|100.0|ipa|23.5|80.0|30|6.7|,0.5411
C(C)=O.CC(=O)OC.COC.C(CCCCCCCCCC(=O)C)CNC.COCCCCC.OC(C)C|89.0|100.0|ipa|23.5|80.0|30|6.7|,0.5411
CC=O.COC(=O)C.COC.C(CCCCCCCNC)CCCC(=O)C.C(OC)CCCC.C(C)(O)C|89.0|100.0|ipa|23.5|80.0|30|6.7|,0.5411
CC=O.COC(C)=O.COC.C(CCCCNC)CCCCCCC(C)=O.C(C)CCCOC.C(C)(C)O|89.0|100.0|ipa|23.5|80.0|30|6.7|,0.5411
C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC.CC(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
CC=O.O=C(OC)C.COC.C(CCCNC)CCCCCCCC(=O)C.COCCCCC.CC(O)C|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
C(=O)C.O(C)C(C)=O.COC.N(C)CCCCCCCCCCCC(=O)C.CCCCCOC.C(C)(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
CC=O.C(=O)(C)OC.COC.C(CCCCCC(C)=O)CCCCCNC.C(CCOC)CC.C(C)(O)C|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
O=CC.C(=O)(OC)C.O(C)C.N(C)CCCCCCCCCCCC(C)=O.C(COC)CCC.OC(C)C|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
C(=O)C.O=C(OC)C.COC.C(CCCCCCCCCNC)CC(=O)C.C(CCOC)CC.CC(O)C|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
O=CC.O(C)C(C)=O.COC.C(CCCCCCCNC)CCCC(C)=O.C(OC)CCCC.OC(C)C|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
O=CC.COC(=O)C.COC.C(CCCCCCCCCCCNC)(C)=O.COCCCCC.C(C)(O)C|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
C(=O)C.C(=O)(C)OC.O(C)C.C(CCCCCCCCCC(C)=O)CNC.C(COC)CCC.C(O)(C)C|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
CC=O.CC(=O)OC.COC.CC(CCCCCCCCCCCNC)=O.C(CC)CCOC.C(C)(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
C(C)=O.COC(C)=O.COC.CNCCCCCCCCCCCC(C)=O.CCCCCOC.CC(C)O|89.0|100.0|ipa|23.5|90.0|60|6.7|,1.7387
CC=O.COC(C)=O.COC.C(CCCCCNC)CCCCCC(=O)C.C(COC)CCC.C(O)(C)C|89.0|100.0|ipa|23.5|90.0|60|6.7|,1.7387
C(C)=O.O=C(C)OC.COC.C(CCCCCCCNC)CCCC(=O)C.O(CCCCC)C.OC(C)C|89.0|100.0|ipa|23.5|90.0|60|6.7|,1.7387
O=CC.COC(C)=O.COC.C(NC)CCCCCCCCCCC(C)=O.C(CCCOC)C.CC(O)C|89.0|100.0|ipa|23.5|90.0|60|6.7|,1.7387
O=CC.CC(=O)OC.COC.C(CCCCCCC(=O)C)CCCCNC.C(CC)CCOC.C(C)(C)O|89.0|100.0|ipa|23.5|90.0|60|6.7|,1.7387
CC=O.C(OC)(C)=O.COC.N(CCCCCCCCCCCC(=O)C)C.C(CC)CCOC.C(C)(O)C|89.0|100.0|ipa|23.5|90.0|60|6.7|,1.7387
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1(cc2c(nc(o2)-c2ccc(C(c3ccc(C)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1)-c1cc2oc(nc2cc1)C.C(C)CCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
n1c(oc2cc(ccc12)-c1cc2c(nc(-c3ccc(C(C(F)(F)F)(C(F)(F)F)c4ccc(cc4)C)cc3)o2)cc1)C.OCCCC|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1c(C)ccc(C(C(F)(F)F)(c2ccc(cc2)-c2oc3c(n2)ccc(-c2cc4oc(C)nc4cc2)c3)C(F)(F)F)c1.C(O)CCC|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1(nc2ccc(-c3cc4c(nc(o4)-c4ccc(cc4)C(C(F)(F)F)(c4ccc(C)cc4)C(F)(F)F)cc3)cc2o1)C.C(CC)CO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c12ccc(cc1oc(n2)C)-c1ccc2nc(oc2c1)-c1ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C)cc1.C(CO)CC|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
Cc1nc2ccc(-c3ccc4c(oc(-c5ccc(cc5)C(C(F)(F)F)(C(F)(F)F)c5ccc(cc5)C)n4)c3)cc2o1.OC(C)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
c1cc(C)ccc1C(c1ccc(cc1)-c1oc2c(n1)ccc(-c1ccc3c(oc(n3)C)c1)c2)(C(F)(F)F)C(F)(F)F.C(C)(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
C(F)(F)(C(c1ccc(cc1)-c1nc2c(cc(-c3ccc4c(oc(C)n4)c3)cc2)o1)(c1ccc(C)cc1)C(F)(F)F)F.CC(O)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
c1c2oc(C)nc2ccc1-c1ccc2nc(oc2c1)-c1ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc(C)cc2)cc1.C(C)(O)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
FC(C(C(F)(F)F)(c1ccc(C)cc1)c1ccc(-c2oc3c(n2)ccc(c3)-c2ccc3nc(C)oc3c2)cc1)(F)F.C(O)(C)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0245
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
c1(ccc(cc1)-c1nc2ccc(cc2o1)-c1ccc2nc(oc2c1)C)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C.OCC|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
c1cc(ccc1-c1oc2c(ccc(-c3cc4oc(nc4cc3)C)c2)n1)C(C(F)(F)F)(c1ccc(C)cc1)C(F)(F)F.C(C)O|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
