"PS_manual_aug_str,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar",J_Total_flux_kg_m_2h_1
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|5.0|30|13.3|,0.0378
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|5.0|30|13.3|,0.0378
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|10.0|30|13.3|,0.0523
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|15.0|30|13.3|,0.0894
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|20.0|30|13.3|,0.17
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
NC1COC(CO)C(O)C1O.NC1COC(CO)C(O)C1O.CC(C)O|55.1|40.0|ipa|23.5|25.0|30|13.3|,0.1984
C[Si]C.O.CCCCO|104.0|12.0|n-butanol|23.1|99.0|40|3.0|,0.4364
O.C[Si]C.CCCCO|104.0|12.0|n-butanol|23.1|99.0|40|3.0|,0.4364
C[Si]C.O.CCCCO|104.0|12.0|n-butanol|23.1|95.0|40|3.0|,0.9849
O.C[Si]C.CCCCO|104.0|12.0|n-butanol|23.1|95.0|40|3.0|,0.9849
C[Si]C.O.CCCCO|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
O.C[Si]C.CCCCO|104.0|12.0|n-butanol|23.1|99.0|80|3.0|,1.1455
C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.CC(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.CC(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CC(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
C.CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.CC(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
O=CO.C.CCCO.O.C=O.NCCCCCCCCCCCC=O.CC(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.C=O.CC(C)O|89.0|100.0|ipa|23.5|60.0|30|6.7|,1.2722
C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.CC(C)O|89.0|100.0|ipa|23.5|90.0|30|6.7|,0.2848
O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.CC(C)O|89.0|100.0|ipa|23.5|90.0|30|6.7|,0.2848
CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CC(C)O|89.0|100.0|ipa|23.5|90.0|30|6.7|,0.2848
C.CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.CC(C)O|89.0|100.0|ipa|23.5|90.0|30|6.7|,0.2848
O=CO.C.CCCO.O.C=O.NCCCCCCCCCCCC=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|30|6.7|,0.2848
NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.C=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|30|6.7|,0.2848
C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.CC(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.CC(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CC(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
C.CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.CC(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
O=CO.C.CCCO.O.C=O.NCCCCCCCCCCCC=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.C=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|40|6.7|,0.6345
C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CCCO.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.C.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
C.CCCO.O.C=O.NCCCCCCCCCCCC=O.O=CO.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
O=CO.C.CCCO.O.C=O.NCCCCCCCCCCCC=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
NCCCCCCCCCCCC=O.O=CO.C.CCCO.O.C=O.CC(C)O|89.0|100.0|ipa|23.5|90.0|50|6.7|,1.1139
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0201
