Augmented_SMILES,SD
C[Si](C)(C)OC.CCCCCC,41.41
C[Si](C)(OC)C.C(CCCC)C,41.41
CO[Si](C)(C)C.C(CC)CCC,41.41
[Si](C)(C)(OC)C.C(CCC)CC,41.41
C[Si](OC)(C)C.C(C)CCCC,41.41
CCC(C)C#N.CCCCCC,0.17
N#CC(C)CC.C(C)CCCC,0.17
CC(C#N)CC.C(CCC)CC,0.17
C(CC)(C#N)C.C(CC)CCC,0.17
C(C(C#N)C)C.C(CCCC)C,0.17
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCCCCC,1.25
c1cc(S(c2ccc(cc2)C)(=O)=O)ccc1OC.C(CC)CCC,1.25
c1cc(S(=O)(c2ccc(OC)cc2)=O)ccc1C.C(C)CCCC,1.25
c1(ccc(cc1)C)S(=O)(=O)c1ccc(OC)cc1.C(CCC)CC,1.25
Cc1ccc(S(c2ccc(cc2)OC)(=O)=O)cc1.C(CCCC)C,1.25
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCCCCC,1.19
c1cc(ccc1Oc1ccc(C(C)(c2ccc(cc2)C)C)cc1)S(=O)(c1ccc(OC)cc1)=O.C(CCC)CC,1.19
c1(ccc(cc1)S(c1ccc(cc1)Oc1ccc(C(C)(C)c2ccc(C)cc2)cc1)(=O)=O)OC.C(CCCC)C,1.19
C(c1ccc(cc1)Oc1ccc(cc1)S(=O)(c1ccc(OC)cc1)=O)(C)(C)c1ccc(C)cc1.C(CC)CCC,1.19
COc1ccc(cc1)S(c1ccc(cc1)Oc1ccc(C(C)(c2ccc(C)cc2)C)cc1)(=O)=O.C(C)CCCC,1.19
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCCCCC,1.15
C1(N(C(c2c1ccc(c2)C(=O)c1cc2C(N(C(c2cc1)=O)C)=O)=O)c1c(C)cc(cc1)-c1ccc(Cc2ccc(C)cc2)cc1)=O.C(C)CCCC,1.15
c1cc(ccc1Cc1ccc(cc1)-c1cc(c(cc1)N1C(c2c(C1=O)ccc(C(=O)c1cc3C(=O)N(C(c3cc1)=O)C)c2)=O)C)C.C(CCCC)C,1.15
N1(c2c(C)cc(-c3ccc(cc3)Cc3ccc(cc3)C)cc2)C(=O)c2c(C1=O)ccc(C(c1ccc3c(C(=O)N(C)C3=O)c1)=O)c2.C(CCC)CC,1.15
c1cc(ccc1C)Cc1ccc(-c2ccc(N3C(c4c(cc(C(c5ccc6c(C(=O)N(C)C6=O)c5)=O)cc4)C3=O)=O)c(C)c2)cc1.C(CC)CCC,1.15
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCCCCC,3.57
N1(C(c2c(cc(cc2)C(=O)c2cc3C(=O)N(c4ccc(C5(c6cc(ccc6C(C)(C)C5)C)C)cc4)C(c3cc2)=O)C1=O)=O)C.C(CCC)CC,3.57
C1(=O)N(C(=O)c2cc(ccc12)C(=O)c1cc2c(cc1)C(=O)N(C2=O)C)c1ccc(cc1)C1(c2c(C(C)(C1)C)ccc(C)c2)C.C(CC)CCC,3.57
c1c(C(=O)c2ccc3c(c2)C(=O)N(C3=O)c2ccc(C3(C)c4cc(C)ccc4C(C3)(C)C)cc2)cc2c(C(=O)N(C2=O)C)c1.C(CCCC)C,3.57
c1c(ccc2C(C)(CC(C)(c21)c1ccc(N2C(=O)c3cc(C(=O)c4cc5c(cc4)C(N(C)C5=O)=O)ccc3C2=O)cc1)C)C.C(C)CCCC,3.57
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCCCCC,0.83
c12cc(ccc2C(N(C1=O)c1cccc(C)c1)=O)Oc1ccc(C(c2ccc(cc2)Oc2ccc3c(c2)C(=O)N(C)C3=O)(C)C)cc1.C(C)CCCC,0.83
Cc1cc(ccc1)N1C(=O)c2ccc(cc2C1=O)Oc1ccc(C(c2ccc(Oc3cc4C(N(C(=O)c4cc3)C)=O)cc2)(C)C)cc1.C(CCC)CC,0.83
c1(ccc2C(=O)N(C(c2c1)=O)C)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cc2C(=O)N(C(=O)c2cc1)c1cc(ccc1)C)(C)C.C(CCCC)C,0.83
CC(C)(c1ccc(cc1)Oc1ccc2C(N(C)C(=O)c2c1)=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(c1cccc(c1)C)C2=O.C(CC)CCC,0.83
CCC(C)C#N.c1ccccc1C,2.25
CCC(C#N)C.Cc1ccccc1,2.25
C(#N)C(C)CC.c1c(C)cccc1,2.25
C(C(C)CC)#N.c1ccc(cc1)C,2.25
N#CC(CC)C.c1ccc(C)cc1,2.25
