PS_manual_aug_str,SD
C[Si](C)C.CO.CCCCCC,41.41
CO.C[Si](C)C.CCCCCC,41.41
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCCCCC,8.75
CCCCCOCCCCOCCCCCO.CNCCCCCCCCCCCC=O.CCCCCC,8.75
CC.CCC#N.CCCCCC,0.17
CCC#N.CC.CCCCCC,0.17
CO.c1ccccc1.O=S=O.Cc1ccccc1.CCCCCC,1.25
Cc1ccccc1.CO.c1ccccc1.O=S=O.CCCCCC,1.25
O=S=O.Cc1ccccc1.CO.c1ccccc1.CCCCCC,1.25
c1ccccc1.O=S=O.Cc1ccccc1.CO.CCCCCC,1.25
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CCCCCC,1.19
Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.CCCCCC,1.19
CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCCCCC,1.19
c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.CCCCCC,1.19
O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.CCCCCC,1.19
c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.CCCCCC,1.19
O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.CCCCCC,1.19
c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.CCCCCC,1.19
O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.CCCCCC,1.15
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.CCCCCC,1.15
C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.CCCCCC,1.15
c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.CCCCCC,1.15
Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.CCCCCC,1.15
CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CCCCCC,1.15
C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.CCCCCC,1.15
CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CCCCCC,3.57
Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.CCCCCC,3.57
c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.CCCCCC,3.57
O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.CCCCCC,3.57
C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.CCCCCC,3.57
C[Si](C)C.CO.c1ccccc1C,35.18
CO.C[Si](C)C.c1ccccc1C,35.18
CC.CCC#N.c1ccccc1C,2.25
CCC#N.CC.c1ccccc1C,2.25
CO.c1ccccc1.O=S=O.Cc1ccccc1.c1ccccc1C,5.04
Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1C,5.04
O=S=O.Cc1ccccc1.CO.c1ccccc1.c1ccccc1C,5.04
c1ccccc1.O=S=O.Cc1ccccc1.CO.c1ccccc1C,5.04
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.c1ccccc1C,17.61
Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.c1ccccc1C,17.61
CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.c1ccccc1C,17.61
c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1C,17.61
O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.c1ccccc1C,17.61
c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1C,17.61
O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.c1ccccc1C,17.61
c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1C,17.61
O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.c1ccccc1C,3.29
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.c1ccccc1C,3.29
C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.c1ccccc1C,3.29
c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1C,3.29
Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.c1ccccc1C,3.29
