PS_manual_str,SD
C[Si](C)C.CO.CCCCCC,41.41
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCCCCC,8.75
CC.CCC#N.CCCCCC,0.17
CO.c1ccccc1.O=S=O.Cc1ccccc1.CCCCCC,1.25
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CCCCCC,1.19
O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.CCCCCC,1.15
CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CCCCCC,3.57
C[Si](C)C.CO.c1ccccc1C,35.18
CC.CCC#N.c1ccccc1C,2.25
CO.c1ccccc1.O=S=O.Cc1ccccc1.c1ccccc1C,5.04
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.c1ccccc1C,17.61
O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.c1ccccc1C,3.29
CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.c1ccccc1C,4.13
CCC.CC[Si](C)(C)C.CCOC(=O)C,16.91
C[Si](C)C.CO.CCOC(=O)C,26.91
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCOC(=O)C,15.65
CC.CCC#N.CCOC(=O)C,0.27
CO.c1ccccc1.O=S=O.Cc1ccccc1.CCOC(=O)C,8.63
CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CCOC(=O)C,9.2
O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.CCOC(=O)C,4.0
CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CCOC(=O)C,6.15
CCC.CC[Si](C)(C)C.CCC(=O)C,18.07
C[Si](C)C.CO.CCC(=O)C,21.08
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCC(=O)C,19.32
